,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,uniqueContentTypes,uningestedTabFilesCount,restrictedFilesCount
0,doi:10.7910/DVN/FZGI5D,https://doi.org/10.7910/DVN/FZGI5D,10,2019-01-29 03:59:21+00:00,2020-06-10 07:41:47+00:00,637,139,194,True,0,0,"citation,geospatial",6,6,text/tab-separated-values,0,2
1,doi:10.7910/DVN/GWTPTK,https://doi.org/10.7910/DVN/GWTPTK,6,2019-04-04 03:27:29+00:00,2020-10-13 07:07:45+00:00,572,14,1576,True,0,0,"citation,geospatial",9,3,"application/msword,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",5,0
2,doi:10.7910/DVN/7ASMDM,https://doi.org/10.7910/DVN/7ASMDM,8,2019-01-08 06:15:27+00:00,2020-06-10 05:36:54+00:00,658,139,823,True,1,1,citation,2,1,"application/pdf,text/tab-separated-values",0,0
3,doi:10.7910/DVN/13KIPQ,https://doi.org/10.7910/DVN/13KIPQ,6,2018-12-04 01:32:24+00:00,2020-06-10 05:42:55+00:00,693,139,514,True,0,0,"citation,geospatial",5,3,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document",4,5
4,doi:10.7910/DVN/LSPNAO,https://doi.org/10.7910/DVN/LSPNAO,4,2020-07-20 06:26:03+00:00,2020-07-22 07:11:32+00:00,99,97,1617,True,1,1,citation,22,22,"text/tab-separated-values,type/x-r-syntax",0,22
5,doi:10.7910/DVN/DBZ7IV,https://doi.org/10.7910/DVN/DBZ7IV,1,2020-09-04 02:21:40+00:00,2020-09-04 02:21:40+00:00,53,53,88,True,0,0,citation,1,0,text/tab-separated-values,0,1
6,doi:10.7910/DVN/TZS58I,https://doi.org/10.7910/DVN/TZS58I,1,2020-09-04 02:08:01+00:00,2020-09-04 02:08:01+00:00,53,53,63,True,0,0,"citation,geospatial",1,0,text/tab-separated-values,0,1
7,doi:10.7910/DVN/RZCGED,https://doi.org/10.7910/DVN/RZCGED,1,2020-09-04 01:47:42+00:00,2020-09-04 01:47:42+00:00,53,53,89,True,0,0,"citation,geospatial",1,0,text/tab-separated-values,0,1
8,doi:10.7910/DVN/1HTKPJ,https://doi.org/10.7910/DVN/1HTKPJ,3,2020-09-03 06:25:37+00:00,2020-09-03 06:45:13+00:00,54,54,282,True,0,0,"citation,geospatial",3,3,text/tab-separated-values,0,0
9,doi:10.7910/DVN/EHQAY8,https://doi.org/10.7910/DVN/EHQAY8,1,2020-09-01 09:10:51+00:00,2020-09-01 09:10:51+00:00,56,56,331,True,0,0,citation,4,4,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/csv,text/tab-separated-values",3,4
10,doi:10.7910/DVN/PPOSWW,https://doi.org/10.7910/DVN/PPOSWW,3,2020-08-12 04:16:35+00:00,2020-10-07 06:26:12+00:00,76,20,548,True,0,0,"citation,geospatial",9,9,"application/gzip,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/csv,text/tab-separated-values",6,9
11,doi:10.7910/DVN/PWC5EY,https://doi.org/10.7910/DVN/PWC5EY,13,2018-08-03 01:58:55+00:00,2020-08-11 07:32:03+00:00,816,77,254,True,1,1,"citation,geospatial",2,0,text/tab-separated-values,0,2
12,doi:10.7910/DVN/MHW4OZ,https://doi.org/10.7910/DVN/MHW4OZ,1,2020-08-05 04:37:52+00:00,2020-08-05 04:37:52+00:00,83,83,13,True,0,0,citation,4,4,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",1,4
13,doi:10.7910/DVN/YODXEY,https://doi.org/10.7910/DVN/YODXEY,1,2020-07-24 08:57:57+00:00,2020-07-24 08:57:57+00:00,95,95,160,True,0,0,"citation,geospatial",1,0,text/tab-separated-values,0,1
14,doi:10.7910/DVN/KCBEON,https://doi.org/10.7910/DVN/KCBEON,2,2020-07-15 02:39:52+00:00,2020-07-21 02:41:38+00:00,104,98,172,True,0,0,citation,4,2,"application/octet-stream,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/x-gzip,text/tab-separated-values",0,4
15,doi:10.7910/DVN/ID2SXK,https://doi.org/10.7910/DVN/ID2SXK,1,2020-07-10 04:20:30+00:00,2020-07-10 04:20:30+00:00,109,109,157,True,0,0,"citation,geospatial",1,0,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,1
16,doi:10.7910/DVN/QJKF5N,https://doi.org/10.7910/DVN/QJKF5N,5,2020-02-14 03:15:10+00:00,2020-07-02 07:49:04+00:00,256,117,724,True,0,0,"citation,geospatial,socialscience",9,3,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/x-stata-syntax,text/tab-separated-values",1,9
17,doi:10.7910/DVN/DMY8W9,https://doi.org/10.7910/DVN/DMY8W9,3,2020-02-04 08:20:03+00:00,2020-06-09 07:19:28+00:00,266,140,39,True,0,0,"citation,geospatial",1,0,text/tab-separated-values,0,1
18,doi:10.7910/DVN/0K3W7C,https://doi.org/10.7910/DVN/0K3W7C,5,2019-06-26 07:10:13+00:00,2020-06-10 03:08:24+00:00,489,139,1484,True,1,1,"citation,geospatial",2,0,"application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",0,0
19,doi:10.7910/DVN/BOG3ZF,https://doi.org/10.7910/DVN/BOG3ZF,1,2020-07-06 06:41:52+00:00,2020-07-06 06:41:52+00:00,113,113,211,True,0,0,citation,2,2,text/tab-separated-values,0,0
20,doi:10.7910/DVN/SBJTNU,https://doi.org/10.7910/DVN/SBJTNU,4,2019-11-15 07:48:52+00:00,2020-07-02 07:53:48+00:00,347,117,988,True,0,0,"citation,geospatial",6,6,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",1,6
21,doi:10.7910/DVN/MIYZYQ,https://doi.org/10.7910/DVN/MIYZYQ,3,2020-02-14 03:17:41+00:00,2020-07-02 07:52:25+00:00,256,117,1200,True,0,0,"citation,geospatial,socialscience",30,0,"application/pdf,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/x-stata-syntax,text/tab-separated-values",1,30
22,doi:10.7910/DVN/XAA5TV,https://doi.org/10.7910/DVN/XAA5TV,6,2020-05-29 05:00:04+00:00,2020-07-02 07:40:15+00:00,151,117,10085,True,0,0,citation,22,5,"application/json,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/csv",21,22
23,doi:10.7910/DVN/IFSGQF,https://doi.org/10.7910/DVN/IFSGQF,4,2020-05-29 05:31:32+00:00,2020-07-02 07:39:22+00:00,151,117,2393,True,0,0,citation,2,2,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/csv",2,2
24,doi:10.7910/DVN/COVGMO,https://doi.org/10.7910/DVN/COVGMO,7,2019-06-27 06:13:04+00:00,2020-06-09 07:42:08+00:00,488,140,1708,True,1,1,"citation,geospatial",5,1,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",1,0
25,doi:10.7910/DVN/LXKSIR,https://doi.org/10.7910/DVN/LXKSIR,4,2020-02-14 04:22:21+00:00,2020-06-09 05:59:11+00:00,256,140,523,True,0,0,"citation,geospatial",5,5,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",3,5
26,doi:10.7910/DVN/DBN1UD,https://doi.org/10.7910/DVN/DBN1UD,1,2020-05-27 07:59:47+00:00,2020-05-27 07:59:47+00:00,153,153,903,True,1,1,"citation,geospatial",1,0,application/vnd.ms-excel.sheet.macroenabled.12,0,0
27,doi:10.7910/DVN/EKFJYE,https://doi.org/10.7910/DVN/EKFJYE,5,2020-05-20 08:35:44+00:00,2020-07-02 07:42:30+00:00,160,117,247,True,0,0,"citation,geospatial",16,16,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/tab-separated-values",1,16
28,doi:10.7910/DVN/7UFTV6,https://doi.org/10.7910/DVN/7UFTV6,2,2020-05-19 04:04:43+00:00,2020-06-05 05:18:28+00:00,161,144,71,True,0,0,citation,1,0,text/tab-separated-values,0,1
29,doi:10.7910/DVN/YNVJXV,https://doi.org/10.7910/DVN/YNVJXV,3,2019-06-25 05:51:00+00:00,2019-11-15 06:55:37+00:00,490,347,1468,True,1,1,citation,1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
30,doi:10.7910/DVN/GA0NTB,https://doi.org/10.7910/DVN/GA0NTB,5,2019-06-14 16:47:21+00:00,2020-06-10 07:16:46+00:00,501,139,869,True,0,0,citation,9,7,"application/octet-stream,text/plain",0,9
31,doi:10.7910/DVN/Z61OAQ,https://doi.org/10.7910/DVN/Z61OAQ,7,2018-11-05 08:26:23+00:00,2020-06-11 02:05:17+00:00,722,138,2689,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
32,doi:10.7910/DVN/0YPGIT,https://doi.org/10.7910/DVN/0YPGIT,4,2018-09-30 11:51:55+00:00,2020-03-13 04:51:59+00:00,758,228,1504,True,4,2,"citation,geospatial",0,0,NA,0,0
33,doi:10.7910/DVN/B0DEY1,https://doi.org/10.7910/DVN/B0DEY1,1,2020-03-25 04:04:25+00:00,2020-03-25 04:04:25+00:00,216,216,1910,True,1,1,"citation,geospatial",1,1,text/tab-separated-values,0,0
34,doi:10.7910/DVN/QKVXOP,https://doi.org/10.7910/DVN/QKVXOP,2,2020-03-24 05:06:58+00:00,2020-03-24 05:07:37+00:00,217,217,1357,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
35,doi:10.7910/DVN/HKTK7B,https://doi.org/10.7910/DVN/HKTK7B,1,2020-03-24 05:38:35+00:00,2020-03-24 05:38:35+00:00,217,217,1906,True,1,1,citation,1,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,0
36,doi:10.7910/DVN/TQIAN4,https://doi.org/10.7910/DVN/TQIAN4,1,2020-03-24 05:55:02+00:00,2020-03-24 05:55:02+00:00,217,217,1502,True,1,1,"citation,geospatial",1,1,text/tab-separated-values,0,0
37,doi:10.7910/DVN/TVGIJJ,https://doi.org/10.7910/DVN/TVGIJJ,7,2020-03-05 01:47:43+00:00,2020-07-02 08:00:53+00:00,236,117,148,True,3,2,"citation,geospatial",4,3,"application/vnd.ms-excel,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
38,doi:10.7910/DVN/BNJPPU,https://doi.org/10.7910/DVN/BNJPPU,2,2020-03-24 04:29:27+00:00,2020-03-24 05:12:02+00:00,217,217,478,True,1,1,citation,2,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,0
39,doi:10.7910/DVN/6LEU9O,https://doi.org/10.7910/DVN/6LEU9O,14,2018-09-05 02:37:08+00:00,2020-06-10 05:45:30+00:00,783,139,276,True,1,1,"citation,geospatial",1,0,text/tab-separated-values,0,1
40,doi:10.7910/DVN/YS5QQJ,https://doi.org/10.7910/DVN/YS5QQJ,3,2020-02-04 08:22:31+00:00,2020-06-09 07:17:55+00:00,266,140,69,True,0,0,"citation,geospatial",2,0,text/tab-separated-values,0,2
41,doi:10.7910/DVN/PPJSKR,https://doi.org/10.7910/DVN/PPJSKR,3,2020-01-30 07:08:46+00:00,2020-06-09 07:22:10+00:00,271,140,30,True,0,0,"citation,geospatial",2,0,text/tab-separated-values,0,2
42,doi:10.7910/DVN/PG51EZ,https://doi.org/10.7910/DVN/PG51EZ,1,2020-02-06 06:29:18+00:00,2020-02-06 06:29:18+00:00,264,264,47,True,0,0,"citation,geospatial",2,0,text/tab-separated-values,0,2
43,doi:10.7910/DVN/W0K9BF,https://doi.org/10.7910/DVN/W0K9BF,5,2019-07-31 03:17:36+00:00,2019-10-25 19:27:25+00:00,454,368,2196,True,1,1,"citation,geospatial",2,1,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document",1,0
44,doi:10.7910/DVN/BMNJPS,https://doi.org/10.7910/DVN/BMNJPS,3,2019-04-30 01:26:10+00:00,2019-07-10 08:02:57+00:00,546,475,437,True,0,0,citation,1,1,text/tab-separated-values,0,0
45,doi:10.7910/DVN/6AME7W,https://doi.org/10.7910/DVN/6AME7W,5,2019-03-01 02:47:09+00:00,2020-06-12 01:09:54+00:00,606,137,712,True,0,0,"citation,geospatial",2,1,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1,0
46,doi:10.7910/DVN/JNJIUK,https://doi.org/10.7910/DVN/JNJIUK,11,2018-11-05 08:44:57+00:00,2020-06-11 02:07:55+00:00,722,138,1970,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
47,doi:10.7910/DVN/TMUJ7X,https://doi.org/10.7910/DVN/TMUJ7X,8,2019-01-08 06:06:44+00:00,2020-10-13 07:12:58+00:00,658,14,1092,True,0,0,"citation,geospatial",2,1,"application/pdf,text/tab-separated-values",0,0
48,doi:10.7910/DVN/YGT1BU,https://doi.org/10.7910/DVN/YGT1BU,6,2018-09-24 03:17:42+00:00,2020-10-13 07:11:07+00:00,764,14,81,True,1,1,"citation,geospatial",1,0,text/tab-separated-values,0,0
49,doi:10.7910/DVN/BSBIWE,https://doi.org/10.7910/DVN/BSBIWE,5,2018-09-30 12:21:25+00:00,2020-03-05 03:40:39+00:00,758,236,2430,True,0,0,"citation,geospatial",0,0,NA,0,0
50,doi:10.7910/DVN/9XO0HB,https://doi.org/10.7910/DVN/9XO0HB,11,2018-11-05 09:04:34+00:00,2020-06-11 02:08:57+00:00,722,138,2080,True,1,1,"citation,geospatial",1,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
51,doi:10.7910/DVN/8J0V6I,https://doi.org/10.7910/DVN/8J0V6I,4,2016-01-08 05:51:29+00:00,2020-06-03 02:54:54+00:00,1754,146,110,True,1,0,"citation,geospatial",3,0,"application/msword,application/pdf,application/vnd.ms-excel",0,0
52,doi:10.7910/DVN/LFDERG,https://doi.org/10.7910/DVN/LFDERG,5,2018-09-30 12:07:02+00:00,2020-03-13 04:45:21+00:00,758,228,6764,True,1,1,"citation,geospatial",0,0,NA,0,0
53,doi:10.7910/DVN/ECFS7N,https://doi.org/10.7910/DVN/ECFS7N,6,2019-07-29 02:12:34+00:00,2020-06-09 07:44:59+00:00,456,140,1620,True,1,1,citation,2,1,"application/pdf,text/tab-separated-values",0,0
54,doi:10.7910/DVN/KKKEZM,https://doi.org/10.7910/DVN/KKKEZM,7,2018-10-25 05:50:36+00:00,2019-11-15 06:59:40+00:00,733,347,3428,True,0,0,"citation,geospatial",7,2,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.wordprocessingml.document,image/jpeg,text/tab-separated-values",3,7
55,doi:10.7910/DVN/5KTV2Q,https://doi.org/10.7910/DVN/5KTV2Q,5,2019-07-05 04:07:29+00:00,2020-03-13 03:12:11+00:00,480,228,1909,True,1,1,citation,2,2,text/tab-separated-values,0,0
56,doi:10.7910/DVN/4NHRXG,https://doi.org/10.7910/DVN/4NHRXG,3,2020-03-26 07:09:02+00:00,2020-07-02 07:50:21+00:00,215,117,184,True,0,0,"citation,geospatial,socialscience",2,2,"application/pdf,text/tab-separated-values",0,2
57,doi:10.7910/DVN/1732LM,https://doi.org/10.7910/DVN/1732LM,6,2018-09-13 02:02:22+00:00,2020-10-13 07:12:17+00:00,775,14,555,True,0,0,"citation,geospatial",2,2,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,text/tab-separated-values",1,0
58,doi:10.7910/DVN/FL9DDZ,https://doi.org/10.7910/DVN/FL9DDZ,14,2018-05-16 01:47:42+00:00,2020-10-13 07:32:24+00:00,895,14,4629,True,2,2,"citation,geospatial",3,0,"application/pdf,application/vnd.ms-excel,text/tab-separated-values",0,0
59,doi:10.7910/DVN/KUVQKY,https://doi.org/10.7910/DVN/KUVQKY,4,2016-01-08 05:50:34+00:00,2020-06-01 03:08:27+00:00,1754,148,498,True,0,0,citation,1,0,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0
60,doi:10.7910/DVN/LDCXIZ,https://doi.org/10.7910/DVN/LDCXIZ,4,2019-07-22 08:53:39+00:00,2020-06-10 02:45:26+00:00,463,139,145,True,1,1,"citation,geospatial",3,1,"application/pdf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,text/plain",0,0
61,doi:10.7910/DVN/ZDVCKE,https://doi.org/10.7910/DVN/ZDVCKE,2,2019-07-22 08:34:02+00:00,2019-07-29 02:16:16+00:00,463,456,1725,True,1,1,citation,1,0,application/pdf,0,0
62,doi:10.7910/DVN/9CNTYS,https://doi.org/10.7910/DVN/9CNTYS,4,2016-01-08 10:44:57+00:00,2019-07-08 06:30:33+00:00,1754,477,356,True,0,0,citation,2,2,"application/pdf,image/tiff",0,0
63,doi:10.7910/DVN/1OCLDP,https://doi.org/10.7910/DVN/1OCLDP,4,2016-01-08 10:44:51+00:00,2020-06-03 05:55:42+00:00,1754,146,576,True,0,0,citation,1,0,application/zipped-shapefile,0,0
64,doi:10.7910/DVN/TUVQ0I,https://doi.org/10.7910/DVN/TUVQ0I,5,2016-01-08 10:43:45+00:00,2020-06-03 03:01:54+00:00,1754,146,747,True,0,0,citation,1,0,application/zipped-shapefile,0,0
