persistent_id,persistentUrl,dataverse_name,dataverse_alias
doi:10.5064/F6GXXBVD,https://doi.org/10.5064/F6GXXBVD,Palliative Care Research Cooperative QDR-EOLPC ,pcrc
doi:10.5064/F6WBLX4I,https://doi.org/10.5064/F6WBLX4I,QDR Main Collection,main
doi:10.5064/F6MBCJ8M,https://doi.org/10.5064/F6MBCJ8M,QDR Main Collection,main
doi:10.5064/F6D0YBEA,https://doi.org/10.5064/F6D0YBEA,QDR Main Collection,main
doi:10.5064/F6LBYMQO,https://doi.org/10.5064/F6LBYMQO,Palliative Care Research Cooperative QDR-EOLPC ,pcrc
doi:10.5064/F6AC1QAF,https://doi.org/10.5064/F6AC1QAF,QDR Main Collection,main
doi:10.5064/F6AGWUJG,https://doi.org/10.5064/F6AGWUJG,QDR Main Collection,main
doi:10.5064/F6FLYLN6,https://doi.org/10.5064/F6FLYLN6,GO Discuss,go-discuss
doi:10.5064/F6W3BY0S,https://doi.org/10.5064/F6W3BY0S,GO Discuss,go-discuss
doi:10.5064/F6IJOKZD,https://doi.org/10.5064/F6IJOKZD,GO Discuss,go-discuss
doi:10.5064/F6OJNVF1,https://doi.org/10.5064/F6OJNVF1,GO Discuss,go-discuss
doi:10.5064/F6BCQ6DM,https://doi.org/10.5064/F6BCQ6DM,GO Discuss,go-discuss
doi:10.5064/F6R3772G,https://doi.org/10.5064/F6R3772G,GO Discuss,go-discuss
doi:10.5064/F6ETSBWQ,https://doi.org/10.5064/F6ETSBWQ,GO Discuss,go-discuss
doi:10.5064/F6QPV2QK,https://doi.org/10.5064/F6QPV2QK,GO Discuss,go-discuss
doi:10.5064/F6NJU10I,https://doi.org/10.5064/F6NJU10I,GO Discuss,go-discuss
doi:10.5064/F6Z5ZNWH,https://doi.org/10.5064/F6Z5ZNWH,GO Discuss,go-discuss
doi:10.5064/F6RQA7AQ,https://doi.org/10.5064/F6RQA7AQ,QDR Main Collection,main
doi:10.5064/F630E3UT,https://doi.org/10.5064/F630E3UT,QDR Main Collection,main
doi:10.5064/F6VAZJ2M,https://doi.org/10.5064/F6VAZJ2M,QDR Main Collection,main
doi:10.5064/F69JKYSS,https://doi.org/10.5064/F69JKYSS,Palliative Care Research Cooperative QDR-EOLPC ,pcrc
doi:10.5064/F6VOIB8H,https://doi.org/10.5064/F6VOIB8H,QDR Main Collection,main
doi:10.5064/F6SHNJUG,https://doi.org/10.5064/F6SHNJUG,QDR Main Collection,main
doi:10.5064/F6EOZGLB,https://doi.org/10.5064/F6EOZGLB,QDR Main Collection,main
doi:10.5064/F6HY9R1Z,https://doi.org/10.5064/F6HY9R1Z,QDR Main Collection,main
doi:10.5064/F6FHSZGO,https://doi.org/10.5064/F6FHSZGO,QDR Main Collection,main
doi:10.5064/F6HTXF0H,https://doi.org/10.5064/F6HTXF0H,QDR Main Collection,main
doi:10.5064/F6K4IVEP,https://doi.org/10.5064/F6K4IVEP,QDR Main Collection,main
doi:10.5064/F68PQFS8,https://doi.org/10.5064/F68PQFS8,QDR Main Collection,main
doi:10.5064/F6AHDRFQ,https://doi.org/10.5064/F6AHDRFQ,QDR Main Collection,main
doi:10.5064/F6NON328,https://doi.org/10.5064/F6NON328,QDR Main Collection,main
doi:10.5064/F65BVECY,https://doi.org/10.5064/F65BVECY,QDR Main Collection,main
doi:10.5064/F6C8VUHP,https://doi.org/10.5064/F6C8VUHP,QDR Main Collection,main
doi:10.5064/F6JTB799,https://doi.org/10.5064/F6JTB799,QDR Main Collection,main
doi:10.5064/F6DJRPLK,https://doi.org/10.5064/F6DJRPLK,QDR Main Collection,main
doi:10.5064/F6UURYON,https://doi.org/10.5064/F6UURYON,QDR Main Collection,main
doi:10.5064/F6IQTIML,https://doi.org/10.5064/F6IQTIML,The Trachtenberg Papers,trachtenberg
doi:10.5064/F6T3PFTW,https://doi.org/10.5064/F6T3PFTW,The Trachtenberg Papers,trachtenberg
doi:10.5064/F64NRC1B,https://doi.org/10.5064/F64NRC1B,The Trachtenberg Papers,trachtenberg
doi:10.5064/F6CSTPY3,https://doi.org/10.5064/F6CSTPY3,The Trachtenberg Papers,trachtenberg
doi:10.5064/F6B9CGIV,https://doi.org/10.5064/F6B9CGIV,The Trachtenberg Papers,trachtenberg
doi:10.5064/F6GEGCRX,https://doi.org/10.5064/F6GEGCRX,QDR Main Collection,main
doi:10.5064/F6NKFLPN,https://doi.org/10.5064/F6NKFLPN,QDR Main Collection,main
doi:10.5064/F62T7NYQ,https://doi.org/10.5064/F62T7NYQ,QDR Main Collection,main
doi:10.5064/F6URYY1I,https://doi.org/10.5064/F6URYY1I,QDR Main Collection,main
doi:10.5064/F6GYLSON,https://doi.org/10.5064/F6GYLSON,QDR Main Collection,main
doi:10.5064/F6B7AR4J,https://doi.org/10.5064/F6B7AR4J,QDR Main Collection,main
doi:10.5064/F6ICDLGP,https://doi.org/10.5064/F6ICDLGP,QDR Main Collection,main
doi:10.5064/F6SUMYSH,https://doi.org/10.5064/F6SUMYSH,QDR Main Collection,main
doi:10.5064/F6AISJL0,https://doi.org/10.5064/F6AISJL0,QDR Main Collection,main
doi:10.5064/F6IOMX5S,https://doi.org/10.5064/F6IOMX5S,QDR Main Collection,main
doi:10.5064/F6SGXPOS,https://doi.org/10.5064/F6SGXPOS,QDR Main Collection,main
doi:10.5064/F6TZYR0Y,https://doi.org/10.5064/F6TZYR0Y,QDR Main Collection,main
doi:10.5064/F6NUVQRR,https://doi.org/10.5064/F6NUVQRR,QDR Main Collection,main
doi:10.5064/F6WACFVR,https://doi.org/10.5064/F6WACFVR,QDR Main Collection,main
doi:10.5064/F6F769GQ,https://doi.org/10.5064/F6F769GQ,QDR Main Collection,main
doi:10.5064/F66Q1V52,https://doi.org/10.5064/F66Q1V52,QDR Main Collection,main
doi:10.5064/F6SF2T3N,https://doi.org/10.5064/F6SF2T3N,QDR Main Collection,main
doi:10.5064/F6KW5CXS,https://doi.org/10.5064/F6KW5CXS,QDR Main Collection,main
doi:10.5064/F6PN93H4,https://doi.org/10.5064/F6PN93H4,QDR Main Collection,main
doi:10.5064/F68G8HMM,https://doi.org/10.5064/F68G8HMM,QDR Main Collection,main
doi:10.5064/F6G44N6S,https://doi.org/10.5064/F6G44N6S,QDR Main Collection,main
doi:10.5064/F6NP22C9,https://doi.org/10.5064/F6NP22C9,QDR Main Collection,main
doi:10.5064/F63776W4,https://doi.org/10.5064/F63776W4,QDR Main Collection,main
doi:10.5064/F6BGVREB,https://doi.org/10.5064/F6BGVREB,QDR Main Collection,main
doi:10.5064/F6MFN8D4,https://doi.org/10.5064/F6MFN8D4,QDR Main Collection,main
doi:10.5064/F6UHXBNH,https://doi.org/10.5064/F6UHXBNH,QDR Main Collection,main
doi:10.5064/F61MNQL0,https://doi.org/10.5064/F61MNQL0,QDR Main Collection,main
doi:10.5064/F626JGPB,https://doi.org/10.5064/F626JGPB,QDR Main Collection,main
doi:10.5064/F6RKKLAD,https://doi.org/10.5064/F6RKKLAD,QDR Main Collection,main
doi:10.5064/F6W7QRSX,https://doi.org/10.5064/F6W7QRSX,QDR Main Collection,main
doi:10.5064/F6PHDAOA,https://doi.org/10.5064/F6PHDAOA,QDR Main Collection,main
doi:10.5064/F6JOQXNF,https://doi.org/10.5064/F6JOQXNF,QDR Main Collection,main
doi:10.5064/F6OAEIDA,https://doi.org/10.5064/F6OAEIDA,QDR Main Collection,main
doi:10.5064/F6NNOI5C,https://doi.org/10.5064/F6NNOI5C,QDR Main Collection,main
doi:10.5064/F6IOUEY2,https://doi.org/10.5064/F6IOUEY2,QDR Main Collection,main
doi:10.5064/F643DB5O,https://doi.org/10.5064/F643DB5O,QDR Main Collection,main
doi:10.5064/F66QRSDR,https://doi.org/10.5064/F66QRSDR,QDR Main Collection,main
doi:10.5064/F6OPE7MJ,https://doi.org/10.5064/F6OPE7MJ,QDR Main Collection,main
doi:10.5064/F6CNZC8J,https://doi.org/10.5064/F6CNZC8J,QDR Main Collection,main
doi:10.5064/F6K6DMCK,https://doi.org/10.5064/F6K6DMCK,QDR Main Collection,main
doi:10.5064/F6AGINR7,https://doi.org/10.5064/F6AGINR7,QDR Main Collection,main
doi:10.5064/F6M2H9VQ,https://doi.org/10.5064/F6M2H9VQ,QDR Main Collection,main
doi:10.5064/F6RL3PS2,https://doi.org/10.5064/F6RL3PS2,QDR Main Collection,main
doi:10.5064/F6FBRTRW,https://doi.org/10.5064/F6FBRTRW,QDR Main Collection,main
doi:10.5064/F6LHMHJR,https://doi.org/10.5064/F6LHMHJR,Northern Ireland Research Initiative,NIRI
doi:10.5064/F6LXO8PS,https://doi.org/10.5064/F6LXO8PS,QDR Main Collection,main
doi:10.5064/F6AJE0NP,https://doi.org/10.5064/F6AJE0NP,QDR Main Collection,main
doi:10.5064/F6KMEDVB,https://doi.org/10.5064/F6KMEDVB,QDR Main Collection,main
doi:10.5064/F6BUAX58,https://doi.org/10.5064/F6BUAX58,QDR Main Collection,main
doi:10.5064/F6CN723S,https://doi.org/10.5064/F6CN723S,QDR Main Collection,main
doi:10.5064/F6TD9V7G,https://doi.org/10.5064/F6TD9V7G,QDR Main Collection,main
doi:10.5064/F6AKTDBI,https://doi.org/10.5064/F6AKTDBI,QDR Main Collection,main
doi:10.5064/F6UMRNAC,https://doi.org/10.5064/F6UMRNAC,QDR Main Collection,main
doi:10.5064/F6Z60KZB,https://doi.org/10.5064/F6Z60KZB,QDR Main Collection,main
doi:10.5064/F6CE5MRF,https://doi.org/10.5064/F6CE5MRF,QDR Main Collection,main
doi:10.5064/F62Z13FQ,https://doi.org/10.5064/F62Z13FQ,QDR Main Collection,main
doi:10.5064/F6H12ZXF,https://doi.org/10.5064/F6H12ZXF,QDR Main Collection,main
doi:10.5064/F6Z31WJ1,https://doi.org/10.5064/F6Z31WJ1,QDR Main Collection,main
doi:10.5064/F60Z715Z,https://doi.org/10.5064/F60Z715Z,QDR Main Collection,main
doi:10.5064/F6TB14TP,https://doi.org/10.5064/F6TB14TP,QDR Main Collection,main
doi:10.5064/F6ZP448B,https://doi.org/10.5064/F6ZP448B,QDR Main Collection,main
doi:10.5064/F6P55KNC,https://doi.org/10.5064/F6P55KNC,QDR Main Collection,main
doi:10.5064/F6833Q5K,https://doi.org/10.5064/F6833Q5K,QDR Main Collection,main
doi:10.5064/F67H1GGS,https://doi.org/10.5064/F67H1GGS,QDR Main Collection,main
doi:10.5064/F6MS3QNV,https://doi.org/10.5064/F6MS3QNV,QDR Main Collection,main
doi:10.5064/F6JW8BSD,https://doi.org/10.5064/F6JW8BSD,QDR Main Collection,main
doi:10.5064/F65Q4T1P,https://doi.org/10.5064/F65Q4T1P,QDR Main Collection,main
doi:10.5064/F6C8276H,https://doi.org/10.5064/F6C8276H,QDR Main Collection,main
doi:10.5064/F6D798BB,https://doi.org/10.5064/F6D798BB,QDR Main Collection,main
doi:10.5064/F6BG2KWC,https://doi.org/10.5064/F6BG2KWC,QDR Main Collection,main
doi:10.5064/F6MW2F2K,https://doi.org/10.5064/F6MW2F2K,QDR Main Collection,main
doi:10.5064/F6RF5RZV,https://doi.org/10.5064/F6RF5RZV,QDR Main Collection,main
doi:10.5064/F6W66HPK,https://doi.org/10.5064/F6W66HPK,QDR Main Collection,main
doi:10.5064/F6QN64NH,https://doi.org/10.5064/F6QN64NH,QDR Main Collection,main
