dataverse_installation_name,DAI,DOI,GND,ISNI,LCNA,ORCID,ResearcherID,ScopusID,VIAF,idHAL,Total
ACSS_Dataverse,0,0,0,0,0,5,0,0,0,0,5
ADA_Dataverse,0,0,0,0,0,1102,0,0,0,0,1102
ASU_Library_Research_Data_Repository,0,0,0,0,0,92,0,0,0,0,92
AUSSDA_Dataverse,0,0,0,0,0,258,0,0,0,0,258
Arca_Dados,0,0,0,0,0,132,0,0,0,0,132
Borealis,0,0,0,22,0,3672,3,10,0,0,3707
CESA_-_Repositorio_de_datos_académicos,0,0,0,0,0,4,0,0,0,0,4
CIDACS,0,0,0,0,0,10,0,0,0,0,10
CIFOR,0,0,0,0,0,95,0,0,0,0,95
CIMMYT_Research_Data,0,0,0,0,0,2560,0,4,0,0,2564
CORA._Research_Data_Repository_(RDR),0,0,0,0,0,1581,0,2,0,0,1583
CROSSDA,0,0,0,0,0,31,0,0,0,0,31
CUHK_Research_Data_Repository,0,0,0,0,0,20,0,0,0,0,20
DADOS_IPB,0,0,0,0,0,30,0,0,0,0,30
DANS_Data_Station_Archaeology,158,0,0,60,0,44,0,0,0,0,262
DATICE,0,0,0,0,0,20,0,0,15,0,35
DOREL,0,0,0,0,0,60,0,0,0,0,60
DR-NTU_(Data),0,0,0,0,0,1892,5,0,0,0,1897
DUnAs,0,0,0,0,0,30,0,0,0,0,30
DaRUS,0,0,43,0,0,6945,0,3,0,0,6991
Dartmouth_Dataverse,0,0,0,0,0,103,0,0,0,0,103
DataRepositoriUM,0,0,0,0,0,66,0,0,0,0,66
Data_Suds,0,0,0,0,0,806,0,2,0,0,808
DataverseNL,3,0,0,2,0,6958,1,8,0,0,6972
DataverseNO,0,0,0,0,0,1553,1,9,0,0,1563
Dataverse_e-cienciaDatos,0,0,0,0,0,1648,0,0,0,0,1648
FGV_Dataverse,0,0,0,0,0,23,0,0,0,0,23
Florida_International_University_Research_Data_Portal,0,0,0,0,0,41,0,0,0,0,41
George_Mason_University_Dataverse,0,0,0,0,0,18,0,0,0,0,18
Gustave_Eiffel_University_Dataverse,0,0,0,0,0,48,0,0,0,0,48
Göttingen_Research_Online,0,0,1,0,0,631,0,1,1,0,634
Harvard_Dataverse,0,0,0,26,136,22848,41,73,3,0,23127
HeiDATA,0,0,39,5,0,325,4,0,4,0,377
ICRISAT,0,0,0,0,0,390,0,0,0,0,390
IISH_Dataverse,0,0,0,1,0,303,0,0,0,0,304
IPGP_Research_Collection,0,0,0,0,0,64,0,0,0,0,64
Indata,0,0,0,0,0,1,0,0,0,0,1
Institute_of_Russian_Literature_Dataverse,0,0,0,0,0,9,0,0,0,0,9
International_Potato_Center,0,0,0,0,0,1066,0,0,0,0,1066
Italian_Institute_of_Technology_(IIT),0,0,0,0,0,36,0,0,0,0,36
JPL_Open_Repository,0,0,0,0,0,41,0,0,0,0,41
Johns_Hopkins_Research_Data_Repository,0,0,0,0,0,561,0,0,0,0,561
Jülich_DATA,0,0,0,0,0,340,0,4,0,0,344
KEEN_Data_Management_Platform,0,0,0,0,0,5,0,0,0,0,5
KU_Leuven_RDR,0,0,0,0,0,334,0,0,0,0,334
Libra_Data,0,0,0,0,1,144,0,0,0,0,145
Lithuanian_Data_Archive_for_Social_Sciences_and_Humanities_(LiDA),0,0,0,0,0,1197,0,0,0,0,1197
MELDATA,0,0,0,0,0,762,0,0,0,0,762
NIE_Data_Repository,0,0,0,0,0,319,0,0,0,0,319
NIOZ_Dataverse,0,0,0,0,0,178,0,0,0,0,178
NYCU_Dataverse,0,0,0,0,0,38,0,0,0,0,38
Open_Data_@_UCLouvain,0,0,0,0,0,111,0,0,0,0,111
Open_Forest_Data,0,0,0,4,0,14336,0,0,0,0,14340
PAPYRUS,0,0,0,0,0,279,0,0,0,0,279
Peking_University,0,0,0,0,0,77,0,0,0,0,77
Pontificia_Universidad_Católica_del_Perú,0,0,0,0,0,9,0,0,0,0,9
QDR_Main_Collection,0,0,0,0,0,168,0,0,0,0,168
RSU_Dataverse,0,0,0,0,0,241,0,0,0,0,241
Recherche_Data_Gouv,0,5,0,0,0,2578,0,0,0,50,2633
Repositorio_de_Datos_Académicos_RDA-UNR,0,0,0,0,0,56,0,0,0,0,56
Repositorio_de_Datos_de_Investigación_Universidad_del_Rosario,0,0,0,0,0,163,1,2,0,0,166
Repositorio_de_datos_de_investigación_de_la_Universidad_de_Chile,0,0,0,0,0,75,0,0,0,0,75
Repositorio_de_datos_de_la_Universidad_de_Concepción,0,0,0,0,0,24,0,0,0,0,24
Repositório_de_Dados_de_Pesquisa_da_UFABC,0,0,0,0,0,4,0,0,0,0,4
Repositório_Polen,0,0,0,0,0,4,0,0,0,0,4
Repositório_de_Dados_de_Pesquisa,0,0,0,0,0,99,0,0,0,0,99
SciELO_Data,0,0,0,0,0,1220,3,0,0,0,1223
TRR170-DB,0,0,0,0,0,91,0,21,0,0,112
Tecnológico_de_Monterrey_Data_Hub,0,0,0,0,0,1,0,0,0,0,1
Texas_Data_Repository_Dataverse,0,0,0,0,3,835,2,1,5,0,846
UCLA_Dataverse,0,0,0,0,0,64,0,0,0,0,64
UNB_Libraries_Dataverse,0,0,0,0,1,14,0,1,0,0,16
UNC_Dataverse,0,0,0,0,0,395,0,0,4,0,399
University_of_Manitoba_Dataverse,0,0,0,0,0,44,0,0,0,0,44
Università_degli_Studi_di_Milano,0,0,0,0,0,146,0,8,0,0,154
VTTI,0,0,0,0,0,423,0,0,0,0,423
World_Agroforestry_-_Research_Data_Repository,0,0,0,0,0,144,0,0,0,0,144
dare,0,0,0,0,0,1,0,0,0,0,1
data.sciencespo,0,0,0,53,0,144,0,0,0,0,197
osnaData,0,0,0,0,0,38,0,0,0,0,38
Total,161,5,83,173,141,81223,61,149,32,50,82078